Portfolio / Property Name,Street Address,City,State,Country,Zip Code,Sector,Subsector,Sector Attribute,Part of Mixed Use Development,Market,Submarket,Size,Size Type,Sale Date,Stake Sold,Local Currency Sale Price (M),Local Currency Symbol,Sale Price Per (in Local Currency),Selected Currency Sale Price ($) (M),Submarket Grade,Property Cap Rate,Property Cap Rate Type,Part of a Portfolio?,Buyer Objective,To be demolished,Buyer Broker,Seller Broker,Land Area (acres),Stories,Parking,Buildings,Year Built,Year Renovated,Occupancy,Green Street Market Cap Rate,Submarket Cap Rate,Zip Code Cap Rate,Lender,1st Mortgage,Verified?,Buyer_1,Buyer_2,Buyer_3,Buyer_4,Seller_1,Seller_2,Seller_3,Seller_4,id_lt_x,propertykey_id,statuspriceadjustedusd_amt_cpiNOTadj,price_cpiNOTadj,propertykey_id_typeadj,propertytype_adj,propertyname_raw,status_dt,intconveyed_nb,intconveyed,address,buyername1,buyername2,buyername3,buyername4,sellername1,sellername2,sellername3,sellername4,zip_cd,psf/ppu,sqft_nb_OG,units_OG,id_lt_y,score
5800 West Peoria Avenue,"5800 West Peoria Avenue, Glendale, AZ 85302",Glendale,AZ,United States,85302,Strip Center,Community Center,With a Grocer,No,Phoenix,Northwest,119530,SF,9/24/19,1,14.8,$,123.82,,B+,0.0814,As Reported,No,,No,,,,,0,,1991,,0.88,0.07187497,0.07547692,0.07802435,,,Yes,,,,,Brixmor Property Group,,,,8222,173278,52096721.89,52096721.89,50989,Industrial,5301 Peoria St,9/26/19,1,,5301 Peoria St,BREIT,,,,GLP,,,,80239,169.6553,307074,,4274,0.8629864
Shoppes at Hamilton,"549 U.S. 130, Hamilton Township, NJ 08691",Hamilton Township,NJ,United States,8691,Strip Center,Unanchored Strip,,No,New Jersey (Central),Trenton,125000,SF,9/24/19,1,8.25,$,66,,C+,0.0673806,Green Street Market Estimate,No,,No,,Cushman & Wakefield,,,0,,,,,0.07519919,0.0818098,0.0714933,,,Yes,,,,,,,,,8223,525978,8250000,8250000,83673,Retail,Shoppes at Hamilton,9/24/19,1,,549 Rte 130,PENWOOD REIM,,,,STOLTZ REAL ESTATE PARTNERS,,,,8620,66,125000,,7309,1.0000002
1355-1357 U Street NW,"1355 U Street Northwest, Washington, DC 20009",Washington,DC,United States,20009,Strip Center,Street Retail,Urban Store Front,No,D.C. Metro,Uptown,10000,SF,9/23/19,1,8.1,$,810,,A-,0.05344328,Green Street Market Estimate,No,,No,,JLL,,,0,,,,,0.06749734,0.06482211,0.06207819,,,Yes,,,,,,,,,8229,1178989,8100000,8100000,116608,Retail,1355 U Street Northwest,9/6/19,1,,1355 U St NW,MARTIN DEVELOPMENT GROUP,,,,GOLDSTAR GROUP,,,,20009,737.3691,10985,,11145,0.8970551
Bennett Plaza,"5210 Florida 64, Bradenton, FL 34208",Bradenton,FL,United States,34208,Strip Center,Unanchored Strip,,No,"Sarasota, FL",,40000,SF,9/23/19,1,6.7,$,167.5,,,0.078,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,,0,,,,,,,,,,Yes,,,,,,,,,8230,1305254,6700000,6700000,132754,Retail,Bennett Plaza,9/23/19,1,,5210 FL-64,BENNETT SHOPPING PLAZA,BENNETT OHIO,,,RICHARD C BENNETT,,,,34208,192.8613,34740,,12740,1
Crossroads at Pleasant Hill,"2304 Monument Boulevard, Pleasant Hill, CA 94523",Pleasant Hill,CA,United States,94523,Strip Center,Power Center,,No,Oakland-East Bay,North Contra Costa,78000,SF,9/23/19,1,38.15,$,489.05,,B-,0.06251379,Green Street Market Estimate,No,,No,,Cushman & Wakefield,3,,0,1,,,,0.06877087,0.0759146,0.06894819,,,Yes,,,,,ICI Development,,,,8233,1434631,38146000,38146000,145180,Retail,Crossroads at Pleasant Hill,9/19/19,1,,2304 Monument Blvd,BRUCE QVALE,,,,ICI DEVELOPMENT,,,,94523,478.8842,79656,,17213,1.0000002
619 Edgewood Avenue SE,"619 Edgewood Avenue Southeast, Atlanta, GA 30312",Atlanta,GA,United States,30312,Strip Center,Street Retail,,No,Atlanta,Airport / South,16376,SF,9/20/19,1,5.6,$,341.96,,B-,,,No,,No,,,,3,,,2001,,,0.07047394,0.07547533,0.0684051,,,Yes,,,,,,,,,8236,187852,5600000,5600000,55474,Industrial,619 Edgewood Avenue Southeast,9/20/19,1,,619 Edgewood Ave SE,ASANA PARTNERS,,,,TARIFIQ EDGEWOOD,,,,30312,320,17500,,4687,0.96255994
Rochester Plaza,"750 Ohio River Boulevard, Rochester, PA 15074",Rochester,PA,United States,15074,Strip Center,Unanchored Strip,,No,Other,,121000,SF,9/20/19,1,5.68,$,46.94,,,0.105,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,,0,,,,,,,,,,Yes,,,,,,,,,8237,230366,5680000,5680000,68289,Retail,Rochester Plaza,9/13/19,1,,952 State Rte 65,AMERICAS REALTY,,,,ZAPPALA GROUP,,,,15074,46.7297,121550,,5749,1.0000001
Twinsburg Plaza,"10735 Ravenna Road, Twinsburg, OH 44087",Twinsburg,OH,United States,44087,Strip Center,Unanchored Strip,,No,Cleveland,Akron / Summit County,82000,SF,9/19/19,1,6.62,$,80.67,,B+,0.07697684,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,11,,0,2,1965,,,0.08550875,0.08208173,0.08083997,,,Yes,,,,,Daniel R. Snyder,,,,8241,16705,6615000,6615000,4398,Retail,Twinsburg Plaza,9/19/19,1,,10735 Ravenna Rd,HYUN LEE,,,,SNYDER TWINSBURG,,,,44087,56.2787,117540,,334,0.9999998
11450-11470 Pines Boulevard,"11450 Pines Boulevard, Pembroke Pines, FL 33026",Pembroke Pines,FL,United States,33026,Strip Center,Power Center,,No,Fort Lauderdale,Southwest Broward,96220,SF,9/19/19,1,22.25,$,231.24,,A+,0.0628525,Green Street Market Estimate,No,,No,,CBRE Group,,1,0,,2010,2011,1,0.06798533,0.06455188,0.06396378,,,Yes,RK Centers,,,,,,,,8242,1425623,22250000,22250000,144773,Retail,11460 Pines Boulevard,9/20/19,1,,11460 Pines Blvd,RK CENTERS,,,,SOUTHERN CENTERS,,,,33025,231.2409,96220,,16836,0.93684864
301-311 North Robertson Boulevard,"301 North Robertson Boulevard, Beverly Hills, CA 90211",Beverly Hills,CA,United States,90211,Strip Center,Street Retail,Urban Store Front,No,Los Angeles,Westside,9000,SF,9/18/19,1,8.04,$,893.71,,A,0.05235784,Green Street Market Estimate,No,,No,Hanley Investment Group,Hanley Investment Group,0.287,,0,2,,,,0.06686057,0.06059073,0.0612259,,,Yes,GEK Construction Corporation,,,,,,,,8245,1393787,8050000,8050000,142851,Retail,301 North Robertson Boulevard,9/10/19,1,,301 N Robertson Blvd,GEK CONSTRUCTION KATHY KOBOR,,,,JULIE ANN LOFGREN WOODROW J WYATT WENDY L WYATT,,,,90211,920.526,8745,,15064,0.9235521
Sienna Shops,"2600 South University Drive, Miramar, FL 33025",Miramar,FL,United States,33025,Strip Center,Unanchored Strip,,No,Fort Lauderdale,Southwest Broward,22000,SF,9/17/19,1,6.18,$,280.91,,A+,0.069,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,6.5308,,0,,,,,0.06798533,0.06455188,0.06957865,,,Yes,,,,,,,,,8249,1336438,6180000,6180000,136638,Retail,Sienna Shops,9/17/19,1,,2600 S University Dr,CK HOLDING GROUP,,,,BF ACQUISITIONS LAURIS BOULANGER,,,,33025,180.7546,34190,,13158,0.9999995
1150 Washington Boulevard,"1150 Washington Boulevard, Ogden, UT 84404",Ogden,UT,United States,84404,Strip Center,Unanchored Strip,,No,Ogden,,55000,SF,9/17/19,1,7.8,$,141.82,,,0.07,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,,0,,,,,,,,,,Yes,,,,,,,,,8250,1212035,7800000,7800000,120964,Retail,1150 Washington Boulevard,9/17/19,1,,1150 Washington Blvd,ARNOLD SCHLESINGER,,,,STANLEY YASUDA,,,,84404,142.484,54743,,11538,1.0000007
1483 Chattahoochee Avenue,"1483 Chattahoochee Avenue Northwest, Atlanta, GA 30318",Atlanta,GA,United States,30318,Strip Center,Unanchored Strip,,No,Atlanta,West,86000,SF,9/17/19,1,5,$,58.14,,C+,0.07742763,Green Street Market Estimate,No,,No,,CBRE Group,,,0,,,,,0.07047394,0.07699931,0.07529348,,,Yes,,,,,Wyatt Realty,,,,8252,400125,5000000,5000000,74256,Industrial,1483 Chattahoochee Avenue North West,9/11/19,1,,1483 Chattahoochee Ave NW,JAMESTOWN,,,,SWH WYATT 1483,,,,30318,224.2152,22300,,6262,0.8942999
Alpharetta City Center,"2 Park Plaza, Alpharetta, GA 30009",Alpharetta,GA,United States,30009,Strip Center,Unanchored Strip,,No,Atlanta,Alpharetta / Roswell,105000,SF,9/17/19,1,43.6,$,415.24,,A,0.06484489,Green Street Market Estimate,No,,No,,JLL,,,0,,,,,0.07047394,0.0636757,0.06336321,,,Yes,CBRE Investment Management,,,,South City Partners,,,,8255,1312883,21599978.74,21599978.74,133555,Apartment,Alpharetta City Center,9/18/19,1,,2001 Commerce St,CBRE GLOBAL INVESTORS,,,,SOUTH CITY PARTNERS,,,,30009,128571.3021,,168,12846,1
32445 Royal Boulevard,"32445 Royal Boulevard, Dagsboro, DE 19939",Dagsboro,DE,United States,19939,Strip Center,Unanchored Strip,,No,"Salisbury, MD",,21948.83,SF,9/16/19,1,5.53,$,251.72,,,0.0964,As Reported,No,,No,,,,1,,,,,,,,,,,Yes,,,,,,,,,8256,1436411,5525000,5525000,145278,Office,32442 Royal Boulevard,9/12/19,1,,32442 Royal Blvd,INVESTORS REALTY,,,,CLAYTON CROSSING,,,,19939,98.6607,56000,,17308,0.9730156
Hitchcock Plaza,"427 Fabian Drive, Aiken, SC 29803",Aiken,SC,United States,29803,Strip Center,Power Center,,No,Augusta,,233000,SF,9/16/19,1,23,$,98.71,,,,,No,,No,,JLL,,,0,,,,,,,,,,Yes,United Properties,,,,Kite Realty Group Trust,,,,8257,145367,23000000,23000000,42766,Retail,Hitchcock Plaza,9/13/19,1,,427 Fabian Dr,UNITED PROPERTIES,,,,INLAND REAL ESTATE GROUP,,,,29803,91.2698,252000,,3558,0.99999976
Springfield Shopping Plaza,"2 Chester Road, Springfield, VT 05156",Springfield,VT,United States,5156,Strip Center,Unanchored Strip,,No,Other,,164000,SF,9/16/19,1,6.75,$,41.16,,,,,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,,0,,,,,,,,,,Yes,,,,,,,,,8258,1433927,6750000,6750000,145103,Retail,Springfield Shopping Plaza,9/16/19,1,,2 Chester Rd,SPRINGFIELD SHOPPING PLAZA,,,,,,,,5156,41.0856,164291,,17137,1.0000005
Travilah Square Shopping Center,"10076 Darnestown Road, Rockville, MD 20850",Rockville,MD,United States,20850,Strip Center,Neighborhood Center,Without a Grocer,No,D.C. Metro,Rockville,56000,SF,9/16/19,1,52.27,$,933.43,,A,0.0387,As Reported,No,,No,,CBRE Group,5.22,1,0,3,1988,2018,0.84,0.06749734,0.06316657,0.06724485,,,Yes,InvenTrust Properties,,,,Finmarc Management,,,,8261,8993,52272000,52272000,2089,Retail,Travilah Square,9/9/19,1,,10016 Darnestown Rd,INVENTRUST,,,,FINMARC MANAGEMENT,,,,20850,850.0065,61496,,140,0.8835199
Lakeshore Plaza,"1549 Sloat Boulevard, San Francisco, CA 94132",San Francisco,CA,United States,94132,Strip Center,Power Center,,No,San Francisco,West,123000,SF,9/15/19,1,105.3,$,856.1,,A-,0.06096431,Green Street Market Estimate,No,,No,,Eastdil Secured,,,0,,,,,0.06686057,0.06672448,0.07065241,,,Yes,Donahue Schriber,,,,ShopCore Properties,,,,8262,487856,105300000,105300000,80180,Retail,Lakeshore Plaza,9/25/19,1,,1501-1597 Sloat Blvd,DONAHUE SCHRIBER,,,,BLACKSTONE,,,,94132,856.9964,122871,,6824,1.0000001
Eldorado Market Place,"5110 West Eldorado Parkway, Frisco, TX 75033",Frisco,TX,United States,75033,Strip Center,Community Center,With a Grocer,No,Dallas / Fort Worth,Frisco / Prosper,186000,SF,9/15/19,1,71.05,$,381.99,,A,0.06340569,Green Street Market Estimate,No,,No,,CBRE Group,,,0,,,,,0.06859234,0.06191304,,,,Yes,InvenTrust Properties,,,,Fidelis Realty Partners,,,,8263,843161,70850000,70850000,104030,Retail,Eldorado Marketplace,9/16/19,1,,5110 Eldorado Pkwy,INVENTRUST,,,,FIDELIS REALTY PARTNERS,,,,75034,380.7748,186068,,9508,0.8930184
Circle Marina Center,"4542 California 1, Long Beach, CA 90804",Long Beach,CA,United States,90804,Strip Center,Power Center,,No,Los Angeles,South Bay,117000,SF,9/15/19,1,49.53,$,423.35,,B+,0.06080191,Green Street Market Estimate,No,,No,,Newmark Group,10,,0,5,,,0.95,0.06686057,0.06616127,0.06959936,,,Yes,Regency Centers Corp.,,,,,,,,8264,1282287,49532500,49532500,130729,Retail,Circle Marina Center,9/16/19,1,,4600 Pacific Coast Hwy,REGENCY CENTERS,,,,KJM LONG BEACH INVESTMENT,,,,90804,118.9647,416363,,12477,1.000001
Payton Park,"41301 U.S. 280, Sylacauga, AL 35150",Sylacauga,AL,United States,35150,Strip Center,Power Center,,No,Other,,232000,SF,9/13/19,1,15.7,$,67.67,,,0.085,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,,0,,,,,,,,,,Yes,Rise Partners,,,,Brixmor Property Group,,,,8267,148647,15700000,15700000,43733,Retail,Payton Park,9/13/19,1,,41301 Us 280,RISE PARTNERS,,,,BRIXMOR,,,,35150,67.725,231820,,3632,0.9999998
Westport Plaza,"369 East 17th Street, Costa Mesa, CA 92627",Costa Mesa,CA,United States,92627,Strip Center,Unanchored Strip,,No,Orange County,Newport Beach / Irvine,29000,SF,9/13/19,1,18.38,$,633.62,,A,0.06080609,Green Street Market Estimate,No,,No,CBRE Group,CBRE Group,,1,0,,,,1,0.06686057,0.06355298,0.06630987,,,Yes,Space Investment Partners,,,,Wohl Investment Co.,,,,8268,1427027,18387500,18387500,144822,Retail,Westport Plaza & Square,9/11/19,1,leasehold,369 E 17th St,SPACE INVESTMENT PARTNERS,,,,WOHL INVESTMENT,,,,92627,471.4744,39000,,16883,0.8968228
Tacoma Central,"South 3rd Street, Tacoma, WA",Tacoma,WA,United States,,Strip Center,Power Center,,No,Other,,111000,SF,9/12/19,1,29.85,$,268.92,,,,,No,,No,,,,,0,,1992,1995,,,,,,,Yes,Bianco Properties,,,,Kimco Realty,,,,8271,91960,29850000,29850000,26968,Retail,Tacoma Central,9/12/19,1,,2236 S 23rd St,BIANCO PROPERTIES,,,,KIMCO,PGIM REAL ESTATE,,,98405,190.2292,156916,,2243,1.0000004
Statesville Shops,"9401 Statesville Road, Charlotte, NC 28269",Charlotte,NC,United States,28269,Strip Center,Neighborhood Center,Without a Grocer,No,Charlotte,Northeast,36691,SF,9/12/19,1,7.27,$,198.05,,B+,0.081,As Reported,No,,No,,Marcus & Millichap IPA,3.9752,,0,1,2004,,1,0.07052899,0.07287674,0.07432308,,,Yes,,,,,,,,,8272,229125,7266677,7266677,67886,Retail,Statesville Shops,9/12/19,1,,9401 Statesville Rd,HUDSON INVESTORS OF NORTH CAROLINA,,,,STONEGATE DEVELOPERS,,,,28269,198.0507,36691,,5715,0.9999996
400 Saint Armands Circle,"400 Saint Armands Circle, Sarasota, FL 34236",Sarasota,FL,United States,34236,Strip Center,Unanchored Strip,,No,"Sarasota, FL",,13228,SF,9/11/19,1,6.95,$,525.4,,,,,No,,No,,,,,,,1972,,,,,,,,Yes,,,,,,,,,8277,579985,6950000,6950000,89052,Office,400 Saint Armands Circle,9/11/19,1,,400 Saint Armands Cir,BENDERSON DEVELOPMENT,,,,DIVENTI,,,,34236,525.4007,13228,,7833,1.0000002
Bella Palma Plaza Shops,"2300 Mason Road, Katy, TX 77450",Katy,TX,United States,77450,Strip Center,Unanchored Strip,,No,Houston,Far Northwest,15000,SF,9/11/19,1,5.15,$,343.33,,B+,0.06797099,Green Street Market Estimate,No,,No,,NAI Global,,,0,,,,,0.07466246,0.07351681,0.07097683,,,Yes,,,,,,,,,8278,1365587,5000000,5000000,139427,Retail,Bella Palma Shops,9/9/19,1,,2300 S Mason Rd,FINIAL GROUP,,,,JAMES STANKA,,,,77450,326.8615,15297,,13382,0.9269031
Santa Rosa Commons,"4739 U.S. 90, Pace, FL 32571",Pace,FL,United States,32571,Strip Center,Community Center,With a Grocer,No,Pensacola,,139000,SF,9/11/19,1,25.72,$,185,,,,,No,,No,,JLL,,,0,,,,,,,,,,Yes,Stirling Properties,,,,Vereit,,,,8280,253685,25715000,25715000,70793,Retail,Santa Rosa Commons,9/11/19,1,,4739 Hwy 90,STIRLING PROPERTIES,,,,COLE REIT,VEREIT,,,32571,185.1999,138850,,5917,0.99999905
120 Tom Hill Sr Boulevard,"120 Tom Hill Sr Boulevard, Macon, GA 31210",Macon,GA,United States,31210,Strip Center,Strip / Convenience,,No,Macon,,15139,SF,9/10/19,1,5,$,330.27,,,0.0665,As Reported,No,,No,,,1.48,1,,,2016,,1,,,,,,Yes,,,,,,,,,8281,1365246,5000000,5000000,139373,Retail,120 Tom Hill Sr Boulevard,10/9/19,1,,120 Tom Hill Sr Blvd,YELLOW BIRD HOLDING,,,,FICKLING AND,,,,31210,331.565,15080,,13379,0.99999976
West Creek,"4404 West William Cannon Drive, Austin, TX 78749",Austin,TX,United States,78749,Strip Center,Unanchored Strip,,No,Austin,Southwest,53000,SF,9/10/19,1,18.6,$,350.94,,A++,0.05905014,Green Street Market Estimate,No,,No,,JLL,,,0,,,,,0.06423718,0.06154131,0.06143942,,,Yes,Ramrock Real Estate,,,,InvenTrust Properties,,,,8282,154868,18700000,18700000,45535,Retail,West Creek Center,9/10/19,1,,4404 W William Cannon Dr,RAMROCK REAL ESTATE,,,,INVENTRUST,INVENTRUST,,,78749,350.5943,53338,,3781,0.9155064
Sabre Springs,"11385 Poway Road, San Diego, CA 92128",San Diego,CA,United States,92128,Strip Center,Unanchored Strip,,No,San Diego,I-15 Corridor,15000,SF,9/10/19,1,6.8,$,453.33,,B+,0.06191516,Green Street Market Estimate,No,,No,CBRE Group,CBRE Group,1,1,0,1,,,1,0.07004441,0.06968245,0.06771574,,,Yes,,,,,,,,,8283,23933,6800000,6800000,6603,Retail,Sabre Springs Plaza,9/10/19,1,,11385-11395 Poway Rd,LAURIE ROSENTHAL,,,,CAPSTONE ADVISORS,,,,92128,452.1577,15039,1,522,0.91535777
Ahwatukee Mercado,"4747 East Elliot Road, Phoenix, AZ 85044",Phoenix,AZ,United States,85044,Strip Center,Neighborhood Center,With a Grocer,No,Phoenix,South,54000,SF,9/10/19,1,9,$,166.67,,B+,0.06886457,Green Street Market Estimate,No,,No,CBRE Group,CBRE Group,,1,0,,,,0.64,0.07187497,0.07445781,0.07101538,,,Yes,Westwood Financial,,,,,,,,8284,159504,9000000,9000000,46861,Retail,Ahwatukee Mercado,8/31/19,1,,4623 E Elliot Rd,WESTWOOD FINANCIAL,,,,TRIGATE CAPITAL,RSF PARTNERS,,,85044,166.4663,54065,,3899,0.9999993
1201 South Los Angeles Street,"1201 South Los Angeles Street, Los Angeles, CA 90015",Los Angeles,CA,United States,90015,Strip Center,Street Retail,Urban Store Front,No,Los Angeles,Downtown / Hollywood,20000,SF,9/10/19,1,10.25,$,512.5,,B+,0.06080191,Green Street Market Estimate,No,,No,CBRE Group,CBRE Group,,1,0,,,,,0.06686057,0.06595909,0.06959936,,,Yes,4D Development,,,,,,,,8285,1259197,10250000,10250000,127263,Retail,1201 South Los Angeles Avenue,8/30/19,1,,1201 S Los Angeles St,4D DEVELOPMENT AND INVESTMENT,,,,SOON PAK,,,,90015,501.7132,20430,,12148,0.99055374
Lima Marketplace,"10001 Lima Road, Fort Wayne, IN 46818",Fort Wayne,IN,United States,46818,Strip Center,Power Center,,No,"Fort Wayne, IN",,107000,SF,9/9/19,1,17.75,$,165.89,,,,,No,,No,,JLL,,,0,,,,,,,,,,Yes,,,,,,,,,8290,545999,13609701.64,13609701.64,85424,Retail,Lima Marketplace,9/6/19,1,,10001 Lima Rd,MID AMERICA MANAGEMENT,,,,KITE REALTY GROUP,,,,46818,136.46,99734,,7473,0.99999934
Woodscreek Commons,"702 South Randall Road, Algonquin, IL 60102",Algonquin,IL,United States,60102,Strip Center,Power Center,,No,Chicago,McHenry County,210000,SF,9/9/19,1,19.1,$,90.95,,B-,0.06802216,Green Street Market Estimate,No,,No,,JLL,,,0,,,,,0.07450178,0.07672036,0.07451225,,,Yes,Bridge33 Capital,,,,Rubloff Development Group Inc.,,,,8291,1256940,19100000,19100000,127013,Retail,Woodscreek Commons,9/9/19,1,,702 S Randall Rd,BRIDGE33 CAPITAL,,,,US BANCORP,,,,60102,91.0005,209889,,12111,0.9999997
Kings Crossing,"6301 Richmond Highway, Alexandria, VA 22306",Alexandria,VA,United States,22306,Strip Center,Power Center,,No,D.C. Metro,SE Fairfax,113000,SF,9/6/19,1,23.7,$,209.73,,B+,0.06543255,Green Street Market Estimate,No,,No,,Newmark Group,,,0,,,,,0.06749734,0.06973653,0.0737828,,,Yes,Rosenthal Properties,,,,Clarion Partners,,,,8293,1424357,23700000,23700000,144734,Retail,Kings Crossing,9/6/19,1,,6301 Richmond Hwy,ROSENTHAL PROPERTIES,,,,CLARION PARTNERS,,,,22306,677.1429,35000,,16799,1.0000001
Cleveland Marketplace,"27650 Bermont Road, Punta Gorda, FL 33982",Punta Gorda,FL,United States,33982,Strip Center,Neighborhood Center,With a Grocer,No,"Punta Gorda, FL",,69000,SF,9/6/19,1,5.2,$,75.36,,,0.084,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,,0,,,,,,,,,,Yes,,,,,,,,,8294,1433959,5200000,5200000,145111,Retail,Cleveland Marketplace,9/6/19,1,,27650 Bermont Rd,,,,,,,,,33982,78.2414,66461,,17145,0.99999946
Tenholder Plaza,"122 South County Center Way, St. Louis, MO 63129",St. Louis,MO,United States,63129,Strip Center,Neighborhood Center,Without a Grocer,No,St. Louis,South County,45000,SF,9/5/19,1,9.5,$,211.11,,B,0.068,As Reported,No,,No,,Marcus & Millichap IPA,3.31,1,0,2,1970,2010,,0.08490231,0.08617136,0.08543835,,,Yes,,,,,,,,,8296,31342,9500000,9500000,8732,Retail,Tenholder Plaza,9/5/19,1,,122 S County Center WAY,ENVISION INTERNATIONAL PROPERTIES,,,,TENHOLDER PROPERTIES,,,,63129,214.0604,44380,,714,1.0000002
Fairview Heights Plaza,"49 Ludwig Drive, Fairview Heights, IL 62208",Fairview Heights,IL,United States,62208,Strip Center,Unanchored Strip,,No,St. Louis,Metro Illinois,199000,SF,9/3/19,1,9.05,$,45.48,,B-,0.0864896,Green Street Market Estimate,No,,No,,CBRE Group,3.69,1,0,1,,,,0.08490231,0.08895092,0.09367171,,,Yes,,,,,,,,,8299,163579,9050000,9050000,48105,Retail,Fairview Heights Plaza,8/29/19,1,,48-81 Ludwig Dr,NAMDAR REALTY GROUP,,,,TORCHLIGHT LOAN SERVICES,JPMCC 2011 C5,,,62208,54.0328,167491,,4022,1.0000005
901 Currency Circle,"901 Currency Circle, Lake Mary, FL 32746",Lake Mary,FL,United States,32746,Strip Center,Unanchored Strip,,No,Orlando,Seminole,13741,SF,9/1/19,1,9.15,$,665.89,,A,0.0698,As Reported,No,,No,,,1.8,1,,,2017,,1,0.07515385,0.07309362,0.07269691,,,Yes,,,,,,,,,8301,1431777,9150000,9150000,144990,Retail,901 Currency Circle,9/12/19,1,,901 Currency Cir,TRAPEZA,,,,HUPP REALTY ADVISORS,,,,32746,665.8904,13741,,17033,1.0000002
26532 Towne Centre Drive,"26532 Towne Centre Drive, Lake Forest, CA 92610",Lake Forest,CA,United States,92610,Strip Center,Power Center,,No,Orange County,South County,121000,SF,9/1/19,1,22.25,$,183.88,,A,0.05827401,Green Street Market Estimate,No,,No,,Newmark Group,,,0,,,,,0.06686057,0.06523758,0.06396948,,,Yes,,,,,Combined Properties Inc.,,,,8305,1436747,22250000,22250000,145302,Retail,26532 Towne Centre Drive,9/30/19,1,,26532 Towne Centre Dr,CHE CHEN SHU FEN LIU,,,,FOOTHILL RANCH,,,,92610,184.1674,120814,,17331,0.9999995
Union Walk,"180 South Union Boulevard, Lakewood, CO 80228",Lakewood,CO,United States,80228,Strip Center,Unanchored Strip,,No,Denver,West,12000,SF,9/1/19,1,5.03,$,418.75,,A,0.06409362,Green Street Market Estimate,No,,No,,Newmark Group,1,,0,1,,,,0.07034763,0.06938254,0.06926746,,,Yes,,,,,"Matrix Group, Inc.",,,,8306,68190,5025000,5025000,19701,Retail,Union Walk,9/12/19,1,,180 S Union Blvd,KIM NIEDERMAN,,,,MATRIX GROUP,,,,80228,416.563,12063,,1633,1.0000004
Colonial Village Shopping Center,"7002 Reisterstown Road, Baltimore, MD 21215",Baltimore,MD,United States,21215,Strip Center,Neighborhood Center,With a Grocer,No,Baltimore,Baltimore City,48000,SF,9/1/19,1,5.5,$,114.58,,C+,0.08768031,Green Street Market Estimate,No,,No,,Neuman Commercial Group,,,0,,,,,0.07762497,0.08561424,0.08954078,,,Yes,,,,,Fedder Management Corporation,,,,8307,199090,5920000,5920000,58832,Retail,Colonial Village,9/17/19,1,,7002-7014 Reisterstown Rd,SOLOMON A SPETNER,,,,FEDDER,,,,21215,116.6411,50754,,4977,0.87010086
PMG Plaza,"1101 North Federal Highway, Fort Lauderdale, FL 33304",Fort Lauderdale,FL,United States,33304,Strip Center,Unanchored Strip,,No,Fort Lauderdale,Fort Lauderdale,38000,SF,8/30/19,1,15.84,$,416.84,,A-,0.0628525,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,,0,,,,,0.06798533,0.06868278,0.06704623,,,Yes,Elysee Investments,,,,,,,,8314,1416855,15840000,15840000,144497,Retail,PMG Plaza,8/30/19,1,,1101 N Federal Hwy,ELYSEE INVESTMENT CO OF MIAMI,,,,PMG ENTERPRISES DWV INVESTMENT PETER GAYDA,,,,33304,413.2102,38334,,16608,0.99999976
Ashley Plaza,"201 North Berkeley Boulevard, Goldsboro, NC 27534",Goldsboro,NC,United States,27534,Strip Center,Power Center,,No,"Goldsboro, NC",,160356,SF,8/30/19,1,15.2,$,94.79,,,0.057,As Reported,No,,No,,JLL,,,0,,1977,2018,0.98,,,,,,Yes,Medalist Properties,,,,RCG Ventures,,,,8315,533742,15200000,15200000,84498,Retail,Ashley Plaza,8/30/19,1,leasehold,201 N Berkeley Blvd,MEDALIST DIVERSIFIED REIT,,,,RCG VENTURES,,,,27534,94.7891,160356,,7383,1
Silver City Town Center,"115 North Mustang Road, Mustang, OK 73064",Mustang,OK,United States,73064,Strip Center,Neighborhood Center,Without a Grocer,No,Oklahoma City,,87000,SF,8/30/19,1,5.55,$,63.79,,,0.0903,As Reported,No,,No,,JLL,,1,0,,1974,,0.92,,,,,,Yes,,,,,,,,,8316,11043,8253520,8253520,2744,Retail,Silver City Town Center,8/30/19,1,,101 N Mustang Rd,,,,,RPM INVESTMENT,,,,73064,93.79,88000,,197,0.99999964
County Line Plaza,"15501 Bustleton Avenue, Philadelphia, PA 19116",Philadelphia,PA,United States,19116,Strip Center,Power Center,,No,Philadelphia,North,75000,SF,8/30/19,1,9.08,$,121,,B,0.0771,As Reported,No,,No,,JLL,7.67,,0,,1997,,0.9,0.0739863,0.08062629,0.07652966,,,Yes,,,,,Slate Property Group,,,,8317,720980,9075000,9075000,94846,Retail,County Line Plaza,8/27/19,1,,15501 Bustleton Ave,ROBERTO PUPO,,,,SLATE GROCERY REIT,,,,19116,119.9762,75640,,8489,1.0000001
